dataset_id,name,description,reaction_count,file
ord_dataset-3b8a2ef300e145468579027f206a3ac8,Cernak miniaturized Suzuki Cross-Coupling 12x10 Informer Library,"Miniaturized Suzuki cross-coupling of 12 aryl halide cores, with 10 boronic acids/esters, to produce 120 possible products using 12 conditions. From Tim Cernak and Merck publication 10.1038/s44160-023-00351-1. The 12 conditions include 5 palladium Buchwald precatalysts and six solvent/cosolvent/base combinations.",1440,data/3b/ord_dataset-3b8a2ef300e145468579027f206a3ac8.parquet
ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3,Ahneman,C-N cross-coupling reactions from 10.1126/science.aar5169,4312,data/46/ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3.parquet
ord_dataset-47eaacc46c3a4487bbdf99adb1a15e41,AIChemEco amide coupling conditions 47k dataset,A high-throughput study of amide coupling conditions by AIChemEco from DOI: 10.1039/d5sc03364k. Dataset comprises a diverse set of 70 amines and 66 acids (632 product pairs) coupled under 95 different coupling conditions.,47015,data/47/ord_dataset-47eaacc46c3a4487bbdf99adb1a15e41.parquet
ord_dataset-488402f6ec0d441ca2f7d6fabea7c220,Test data from https://doi.org/10.1039/C8SC04228D,40000 reaction SMILES downloaded from https://github.com/connorcoley/rexgen_direct,40000,data/48/ord_dataset-488402f6ec0d441ca2f7d6fabea7c220.parquet
ord_dataset-4d431564f3ef4e9c91d8da5836f4eae6,Figure 4 from Chemistry informer libraries,"Reactions from Kutchukian et al. Chemistry informer libraries: a chemoinformatics enabled approach to evaluate and advance synthetic methods. Chem. Sci., 2016,7, 2604-2613; https://doi.org/10.1039/C5SC04751J",90,data/4d/ord_dataset-4d431564f3ef4e9c91d8da5836f4eae6.parquet
ord_dataset-52bd3b0ec72c443aab113bcea09bf3f4,Vinyl ether Mizoroki-Heck,"Mizoroki-Heck couplings with Ni and Pd, 4 x 96 well-plates, Newman 2023",96,data/52/ord_dataset-52bd3b0ec72c443aab113bcea09bf3f4.parquet
ord_dataset-5415f83da68e4797856ddd330dda5c61,C-H activation of oxazoles from the second demo case in the PyParser paper,"C-H activation of oxazoles from the second demo case in the PyParser paper.It is also referred to as the ""reaction optimization"" campaign.Duplicate conditions are found in wells A2/A8, A3/A9, A5/A11 and A6/A12, then again in wells C2/C8, C3/C9, C5/C11 and C6/C12. This duplication was done to ensure reproducibility between the two 24-well metal heating blocks.",48,data/54/ord_dataset-5415f83da68e4797856ddd330dda5c61.parquet
ord_dataset-5481550056a14935b76e031fb94b88be,Validation data from https://doi.org/10.1039/C8SC04228D,30000 reaction SMILES downloaded from https://github.com/connorcoley/rexgen_direct,30000,data/54/ord_dataset-5481550056a14935b76e031fb94b88be.parquet
ord_dataset-5540e162c09f4c04905ddc8ba9c931c6,Copper-Catalyzed Enantioselective Hydroamination of Alkenes,"Reaction data from Org. Synth. 2018, 95, 80-96 (DOI: 10.15227/orgsyn.095.0080)",3,data/55/ord_dataset-5540e162c09f4c04905ddc8ba9c931c6.parquet
ord_dataset-55de08a995554f558c25fc43eac62359,Microwave-assisted Biginelli Condensation Dataset,"48-member library of Biginelli products from microwave screening paper, https://pubs.acs.org/doi/full/10.1021/cc010044j",48,data/55/ord_dataset-55de08a995554f558c25fc43eac62359.parquet
ord_dataset-5c9a10329a8a48968d18879a48bb8ab2,Chan-Lam coupling of primary sulfonamides with boronic acids,"Screen of Chan-Lam couplings of primary sulfonamides with boronic acids, from 10.26434/chemrxiv-2024-22jrq, by the Abigail Doyle group in collaboration with Janssen. Includes a triplicate HTE screen spanning 44 sulfonamides, 2 boronic acids, 4 copper catalysts, 21 bases, and 4 solvents at 60 °C for 18 hours under an air atmosphere.",9632,data/5c/ord_dataset-5c9a10329a8a48968d18879a48bb8ab2.parquet
ord_dataset-5e8318f0dda04b398c14f4c3adfeb32c,Ligand screening for Aza-Heck cyclization in total synthesis of Impatien A,24 ligands are screened for the aza-Heck cyclization in a total synthesis of Impatien A.,24,data/5e/ord_dataset-5e8318f0dda04b398c14f4c3adfeb32c.parquet
ord_dataset-5eb7f2689f4a42eba63ad9e37e49a5cd,"39 compound library from ""Building a Sulfonamide Library by Eco-Friendly Flow Synthesis""",Library generated in DOI 10.1021/co400012m (Table 2),39,data/5e/ord_dataset-5eb7f2689f4a42eba63ad9e37e49a5cd.parquet
ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08,Pd-catalyzed C-H arylation of imidazole with aryl bromide,palladium-catalyzed imidazole C5-H arylation reactivities with 8 aryl bromides and 8 imidazoles are evaluated with 24 monophosphine ligands,1536,data/67/ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08.parquet
ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203,Rapid material-sparing screening of 5760 Suzuki-Miyaura coupling reactions,"5760 nanoscale flow reactions from https://doi.org/10.1126/science.aap9112 screening a series of electrophiles and nucleophiles against 12 ligands (one blank), 8 bases (one blank), and four solvents.",5760,data/68/ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203.parquet
ord_dataset-6a0bfcdf53a64c07987822162ae591e2,synthesis of islatravir by biocatalytic cascade,"Reaction from Huffman, et al. Design of an in vitro biocatalytic cascade for the manufacture of islatravir, Science 6 Dec 2019 Vol 366, Issue 6470, pp. 1255-1259; https://doi.org/10.1126/science.aay8484",3,data/6a/ord_dataset-6a0bfcdf53a64c07987822162ae591e2.parquet
ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5,Aniline amide coupling reaction,"Amidation reactivities are evaluated with 10 anilines, 8 activators, 4 bases, 3 solvents with a fixed indomethacin carboxylic core.",960,data/7a/ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5.parquet
ord_dataset-7d8f5fd922d4497d91cb81489b052746,HTE Pd-catalyzed cross-coupling screen,Reactions from Experiment 2 of DOI: 10.1126/science.1259203,1536,data/7d/ord_dataset-7d8f5fd922d4497d91cb81489b052746.parquet
ord_dataset-805ad863feef48579d95d86a728035f4,"High-throughput exploration of 50,688 Pd-, Ni- and Cu-catalysed C–N coupling reactions","50,688 C–N coupling reactions between 2 amines and 4 aryl halides were studied in a series of ultra-HTE screens using a 1536-well plate format. Catalyst (33 unique), ligand (164 unique), base (17 unique) and temperature were varied across Pd, Ni and Cu catalytic systems in diglyme, DMSO, and binary solvent mixtures. Assay yields were determined by UPLC-MS. Reactions were performed by the Cernak group at the University of Michigan, Ann Arbor, MI, and the publication is available at https://doi.org/10.1021/jacs.6c05959.",50688,data/80/ord_dataset-805ad863feef48579d95d86a728035f4.parquet
ord_dataset-89b083710e2d441aa0040c361d63359f,Coupling of α-carboxyl sp3-carbons with aryl halides,Substrate scopes (Figure 3 and 4A) from https://science.sciencemag.org/content/345/6195/437,24,data/89/ord_dataset-89b083710e2d441aa0040c361d63359f.parquet
ord_dataset-8d1e28ec1f6b4ee8ad372e0b5ed7a62e,Electroreductive Coupling of Alkenyl and Benzyl Halides,27-member library of coupling products from figures 2 and 3 of https://pubs.acs.org/doi/abs/10.1021/acscatal.9b01785,27,data/8d/ord_dataset-8d1e28ec1f6b4ee8ad372e0b5ed7a62e.parquet
ord_dataset-99c23cf435dc42f1af884053bc8b11c7,Borylation dataset from Roche,"Borylation reactions which were extracted from the literature by Roche scientists and published in the SURF format (ChemRxiv, 2024, DOI: 10.26434/chemrxiv-2023-nfq7h)",1111,data/99/ord_dataset-99c23cf435dc42f1af884053bc8b11c7.parquet
ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545,NiCOlit,Nickel-catalyzed cross-couplings extracted from organic reaction publications,1762,data/9b/ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545.parquet
ord_dataset-a12fa15d036d489c971b0b514caeae52,Fig 7 data from Golden paper,Cross-coupling of 3-(1-chloroethyl)pyridine with a range of  nucleophiles. Data from Fig 7 of https://doi.org/10.1016/j.chempr.2024.04.001.,288,data/a1/ord_dataset-a12fa15d036d489c971b0b514caeae52.parquet
ord_dataset-ac78456835404910b3a4c840248b6ac9,Nano CN PhotoChemistry Informers Library,https://doi.org/10.1021/acs.accounts.0c00760 Data from Figure S12. Data from experiment 2. Yields of products calculated by UPLC-MS using product standards.,1728,data/ac/ord_dataset-ac78456835404910b3a4c840248b6ac9.parquet
ord_dataset-b440f8c90b6343189093770060fc4098,Photodehalogenation_HTE_estimated_conv_at_5hr,"Ref: Bernhard, S. et al ""High-throughput Synthesis and Screening of Iridium(III) Photocatalysts for the Fast and Chemoselective Dehalogenation of Aryl Bromides""  ACS Catal. 2020, 10, 6977−6987. https://dx.doi.org/10.1021/acscatal.0c02247",1152,data/b4/ord_dataset-b440f8c90b6343189093770060fc4098.parquet
ord_dataset-bc349c19b4384756a2aee8aa525b6c2a,Reizman Suzuki Cross-Coupling,"Reactions from Reizman, et al. Suzuki–Miyaura cross-coupling optimization enabled by automated feedback. React. Chem. Eng., 2016,1, 658-666; https://doi.org/10.1039/C6RE00153J",96,data/bc/ord_dataset-bc349c19b4384756a2aee8aa525b6c2a.parquet
ord_dataset-c5b00523487a4211a194160edf45e9ab,Dataset from `Ultra-high-throughput mapping of the chemical space of asymmetric catalysis enables accelerated reaction discovery`,"Full factorial of the alpha-asymmetric alkylation of aldehydes with photoredox and organocatalysis [10 bromoacetophenones x 13 photocatalysts x 11 organocatalysts, 1430 total reactions]. Enantioselectivity determined by ion mobility mass spectrometry.",1430,data/c5/ord_dataset-c5b00523487a4211a194160edf45e9ab.parquet
ord_dataset-c703268ea43a4c7e802c6048b6166b34,Bayesian optimization of 5 decarboxylative olefination reactions,"The decarboxylative olefination reaction between 5 pairings of aldehydes and malonic acid half-thioesters were studied in a Bayesian optimization campaign of 120 reaction datapoints. For each pairing, the catalyst, solvent, temperature and equivalents were optimized across 4 rounds of 6 experiments. Reactions were performed by the Alan R. Healy group at New York University Abu Dhabi, and the pre-print publication is available on ChemRxiv at https://doi.org/10.26434/chemrxiv.15001213/v1. This dataset was used as training data for a subsequent transfer learning optimization of similar aldehydes and malonic acid derivatives, which is also available on ORD (ord_dataset-dc0249930af34d17a3c76881a762aebf).",120,data/c7/ord_dataset-c703268ea43a4c7e802c6048b6166b34.parquet
ord_dataset-cbcc4048add7468e850b6ec42549c70d,Pd-catalyzed Buchwald-Hartwig C-N cross-coupling,"A palladium-catalyzed Buchwald-Hartwig cross coupling reaction with different precatalysts with different ligands, and bases.",288,data/cb/ord_dataset-cbcc4048add7468e850b6ec42549c70d.parquet
ord_dataset-ce5045aceb214cfc8bfd0ef3031e2737,N-vinyl pyrrolidone Mizoroki-Heck,"Mizoroki-Heck couplings with Ni and Pd, 4 x 96 well-plates, Newman 2023",96,data/ce/ord_dataset-ce5045aceb214cfc8bfd0ef3031e2737.parquet
ord_dataset-d26118acda314269becc35db5c22dc59,Shields Arylation,"Reactions from Shields, B.J., Stevens, J., Li, J. et al. Bayesian reaction optimization as a tool for chemical synthesis. Nature 590, 89–96 (2021). https://doi.org/10.1038/s41586-021-03213-y",1728,data/d2/ord_dataset-d26118acda314269becc35db5c22dc59.parquet
ord_dataset-d319c2a22ecf4ce59db1a18ae71d529c,Pd_CN_Coupling_Informer_Library,"Ref: Chem. Sci., 2016, 7, 2604. doi: 10.1039/c5sc04751j This palladium catalyzed C-N cross coupling dataset is the first 8 rows of Figure 4D",264,data/d3/ord_dataset-d319c2a22ecf4ce59db1a18ae71d529c.parquet
ord_dataset-d92976309c3a48a3a64a4cf5e7048086,39k HTE dataset from Pfizer,"39,000 HTE reactions from Pfizer, as reported in DOI.1038\s41557-023-01393-w. Additional data preparation has been performed to record solvents and reagents as components with smiles strings.",39347,data/d9/ord_dataset-d92976309c3a48a3a64a4cf5e7048086.parquet
ord_dataset-dc0249930af34d17a3c76881a762aebf,Transfer learning optimization of 26 decarboxylative olefination reactions,"The decarboxylative olefination reaction between 26 pairings of aldehydes and malonic acid derivatives were studied in a transfer learning optimization campaign of 136 reaction datapoints. For each pairing, the catalyst, solvent, temperature and equivalents were optimized across several iterations of 2 experiments. Reactions were performed by the Alan R. Healy group at New York University Abu Dhabi, and the pre-print publication is available on ChemRxiv at https://doi.org/10.26434/chemrxiv.15001213/v1. This transfer learning dataset was trained with the 120-experiment dataset from a Bayesian optimization campaign which is also available on ORD (ord_dataset-c703268ea43a4c7e802c6048b6166b34).",136,data/dc/ord_dataset-dc0249930af34d17a3c76881a762aebf.parquet
ord_dataset-e7830cd6b11158b43994ccfb5ee9acb3,Training data from https://doi.org/10.1039/C8SC04228D,409035 reaction SMILES downloaded from https://github.com/connorcoley/rexgen_direct,409035,data/e7/ord_dataset-e7830cd6b11158b43994ccfb5ee9acb3.parquet
ord_dataset-eeba974d3c284aed86d1c1d442260a1e,HTE Suzuki coupling dataset,Pd-catalyzed Suzuki coupling HTE dataset from Figure 2 of doi:10.1021/jacs.2c08592,376,data/ee/ord_dataset-eeba974d3c284aed86d1c1d442260a1e.parquet
ord_dataset-fc83743b978f4deea7d6856deacbfe53,Deoxyfluorination screen,Reactions from Figure 1 of DOI: 10.1021/jacs.8b01523,80,data/fc/ord_dataset-fc83743b978f4deea7d6856deacbfe53.parquet
ord_dataset-feaf1b793c6d408aaec1cac7cc3ceadc,Minisci dataset from Roche,"Minisci reactions which were extracted from the literature by Roche scientists and published in the SURF format (ChemRxiv, 2024, DOI: 10.26434/chemrxiv-2023-nfq7h)",130,data/fe/ord_dataset-feaf1b793c6d408aaec1cac7cc3ceadc.parquet
